Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM3026153,"SS2_15_0048_M21","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750209",SRX3750209,"Kristian Pietras","Nov 23, 2018"
GSM3026154,"SS2_15_0048_M22","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750210",SRX3750210,"Kristian Pietras","Nov 23, 2018"
GSM3026155,"SS2_15_0048_M23","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750211",SRX3750211,"Kristian Pietras","Nov 23, 2018"
GSM3026156,"SS2_15_0048_M24","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750212",SRX3750212,"Kristian Pietras","Nov 23, 2018"
GSM3026157,"SS2_15_0048_N1","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750213",SRX3750213,"Kristian Pietras","Nov 23, 2018"
GSM3026158,"SS2_15_0048_N2","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750214",SRX3750214,"Kristian Pietras","Nov 23, 2018"
GSM3026159,"SS2_15_0048_N3","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750215",SRX3750215,"Kristian Pietras","Nov 23, 2018"
GSM3026160,"SS2_15_0048_N4","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750216",SRX3750216,"Kristian Pietras","Nov 23, 2018"
GSM3026161,"SS2_15_0048_N5","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750217",SRX3750217,"Kristian Pietras","Nov 23, 2018"
GSM3026162,"SS2_15_0048_N6","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750218",SRX3750218,"Kristian Pietras","Nov 23, 2018"
GSM3026163,"SS2_15_0048_N7","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750219",SRX3750219,"Kristian Pietras","Nov 23, 2018"
GSM3026164,"SS2_15_0048_N8","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750220",SRX3750220,"Kristian Pietras","Nov 23, 2018"
